createTimeISO,uniqueId,text,clean_text,lower_text,normalized_text,stopwords_text,tokenized_text,stemmed_text,label,polarity_score,polarity
"Tuesday, 18 February 2025",mbakida567,real,real,real,real,real,['real'],['real'],['real'],2,1
"Tuesday, 18 February 2025",thinkessentials30,Uppppp 🔥,Uppppp,uppppp,up,up,['up'],['up'],['up'],0,1
"Friday, 14 February 2025",laksamana.muda69,info ke Japanese,info ke Japanese,info ke japanese,info ke japanese,info japanese,"['info', 'japanese']","['info', 'japanese']","['info', 'japanese']",-3,0
"Thursday, 13 February 2025",jonitravel,"Realistis Orang Orang pinter pada pindah negara, seperti Julio ekspor",Realistis Orang Orang pinter pada pindah negara seperti Julio ekspor,realistis orang orang pinter pada pindah negara seperti julio ekspor,realistis orang orang pinter pada pindah negara seperti julio ekspor,realistis orang orang pinter pindah negara seperti julio ekspor,"['realistis', 'orang', 'orang', 'pinter', 'pindah', 'negara', 'seperti', 'julio', 'ekspor']","['realistis', 'orang', 'orang', 'pinter', 'pindah', 'negara', 'seperti', 'julio', 'ekspor']","['realistis', 'orang', 'orang', 'pinter', 'pindah', 'negara', 'seperti', 'julio', 'ekspor']",5,1
"Wednesday, 12 February 2025",bumbumbakudaaa,"gua gak fomo ikut2an yang namanya #kaburajadulu tapi sebelumnya udah ku fikir secara matang suatu saat akan pindah kewarganegaraan demi kehidupan yang layak, layak yangku maksud itu layaknya manusia",gua gak fomo ikut2an yang namanya tapi sebelumnya udah ku fikir secara matang suatu saat akan pindah kewarganegaraan demi kehidupan yang layak layak yangku maksud itu layaknya manusia,gua gak fomo ikut2an yang namanya tapi sebelumnya udah ku fikir secara matang suatu saat akan pindah kewarganegaraan demi kehidupan yang layak layak yangku maksud itu layaknya manusia,gua tidak fomo ikut2an yang namanya tapi sebelumnya udah ku fikir secara matang suatu saat akan pindah kewarganegaraan demi kehidupan yang layak layak yangku maksud itu layaknya manusia,gua tidak fomo ikut2an namanya tapi sebelumnya udah ku fikir secara matang suatu saat akan pindah kewarganegaraan demi kehidupan layak layak yangku maksud itu layaknya manusia,"['gua', 'tidak', 'fomo', 'ikut2an', 'namanya', 'tapi', 'sebelumnya', 'udah', 'ku', 'fikir', 'secara', 'matang', 'suatu', 'saat', 'akan', 'pindah', 'kewarganegaraan', 'demi', 'kehidupan', 'layak', 'layak', 'yangku', 'maksud', 'itu', 'layaknya', 'manusia']","['gua', 'tidak', 'fomo', 'ikut2an', 'nama', 'tapi', 'belum', 'udah', 'ku', 'fikir', 'cara', 'matang', 'suatu', 'saat', 'akan', 'pindah', 'kewarganegaraan', 'demi', 'hidup', 'layak', 'layak', 'yang', 'maksud', 'itu', 'layak', 'manusia']","['gua', 'tidak', 'fomo', 'ikut2an', 'nama', 'tapi', 'belum', 'udah', 'ku', 'fikir', 'cara', 'matang', 'suatu', 'saat', 'akan', 'pindah', 'kewarganegaraan', 'demi', 'hidup', 'layak', 'layak', 'yang', 'maksud', 'itu', 'layak', 'manusia']",-20,0
"Wednesday, 12 February 2025",chotib12345,"sebenarnya gada maksud pindah negara, cuman mencari penghidupan yang layak, pekerjaan disini syaratnya ngadi2 😂.",sebenarnya gada maksud pindah negara cuman mencari penghidupan yang layak pekerjaan disini syaratnya ngadi2,sebenarnya gada maksud pindah negara cuman mencari penghidupan yang layak pekerjaan disini syaratnya ngadi2,sebenarnya gada maksud pindah negara cuman mencari penghidupan yang layak pekerjaan disini syaratnya ngadi2,sebenarnya gada maksud pindah negara cuman mencari penghidupan layak pekerjaan disini syaratnya ngadi2,"['sebenarnya', 'gada', 'maksud', 'pindah', 'negara', 'cuman', 'mencari', 'penghidupan', 'layak', 'pekerjaan', 'disini', 'syaratnya', 'ngadi2']","['benar', 'gada', 'maksud', 'pindah', 'negara', 'cuman', 'cari', 'hidup', 'layak', 'kerja', 'sini', 'syarat', 'ngadi2']","['benar', 'gada', 'maksud', 'pindah', 'negara', 'cuman', 'cari', 'hidup', 'layak', 'kerja', 'sini', 'syarat', 'ngadi2']",-7,0
"Wednesday, 12 February 2025",viscounddd,mungkin jutaan anak muda yg mau ikut #kabur aja dulu lagi terkendala biaya😂 termasuk gua🗿,mungkin jutaan anak muda yg mau ikut aja dulu lagi terkendala biaya termasuk gua,mungkin jutaan anak muda yg mau ikut aja dulu lagi terkendala biaya termasuk gua,mungkin jutaan anak muda yang mau ikut saja dulu lagi terkendala biaya termasuk gua,mungkin jutaan anak muda mau ikut saja dulu lagi terkendala biaya termasuk gua,"['mungkin', 'jutaan', 'anak', 'muda', 'mau', 'ikut', 'saja', 'dulu', 'lagi', 'terkendala', 'biaya', 'termasuk', 'gua']","['mungkin', 'juta', 'anak', 'muda', 'mau', 'ikut', 'saja', 'dulu', 'lagi', 'kendala', 'biaya', 'masuk', 'gua']","['mungkin', 'juta', 'anak', 'muda', 'mau', 'ikut', 'saja', 'dulu', 'lagi', 'kendala', 'biaya', 'masuk', 'gua']",-15,0
"Friday, 14 February 2025",misscappricons1720,gak munafik kalau ada kesempatan gua juga pengen pindah dan ganti kewarganegaraan😌,gak munafik kalau ada kesempatan gua juga pengen pindah dan ganti kewarganegaraan,gak munafik kalau ada kesempatan gua juga pengen pindah dan ganti kewarganegaraan,tidak munafik kalau ada kesempatan gua juga pengen pindah dan ganti kewarganegaraan,tidak munafik kalau ada kesempatan gua juga pengen pindah ganti kewarganegaraan,"['tidak', 'munafik', 'kalau', 'ada', 'kesempatan', 'gua', 'juga', 'pengen', 'pindah', 'ganti', 'kewarganegaraan']","['tidak', 'munafik', 'kalau', 'ada', 'sempat', 'gua', 'juga', 'ken', 'pindah', 'ganti', 'kewarganegaraan']","['tidak', 'munafik', 'kalau', 'ada', 'sempat', 'gua', 'juga', 'ken', 'pindah', 'ganti', 'kewarganegaraan']",-9,0
"Wednesday, 12 February 2025",r4f42206,keputusan yang tepat buat apa tinggal di tempat yang sakit moralnya,keputusan yang tepat buat apa tinggal di tempat yang sakit moralnya,keputusan yang tepat buat apa tinggal di tempat yang sakit moralnya,keputusan yang tepat buat apa tinggal di tempat yang sakit moralnya,keputusan tepat buat apa tinggal tempat sakit moralnya,"['keputusan', 'tepat', 'buat', 'apa', 'tinggal', 'tempat', 'sakit', 'moralnya']","['putus', 'tepat', 'buat', 'apa', 'tinggal', 'tempat', 'sakit', 'moral']","['putus', 'tepat', 'buat', 'apa', 'tinggal', 'tempat', 'sakit', 'moral']",-10,0
"Thursday, 13 February 2025",ijhem04,kayanya gua sendiri bakalan ngikutin tren #kaburajadulu karna nyari peluang kerja di negara kita ini sulit 😏,kayanya gua sendiri bakalan ngikutin tren karna nyari peluang kerja di negara kita ini sulit,kayanya gua sendiri bakalan ngikutin tren karna nyari peluang kerja di negara kita ini sulit,kayanya gua sendiri bakalan ngikutin tren karna nyari peluang kerja di negara kita ini sulit,kayanya gua sendiri bakalan ngikutin tren karna nyari peluang kerja negara kita ini sulit,"['kayanya', 'gua', 'sendiri', 'bakalan', 'ngikutin', 'tren', 'karna', 'nyari', 'peluang', 'kerja', 'negara', 'kita', 'ini', 'sulit']","['kaya', 'gua', 'sendiri', 'bakal', 'ngikutin', 'tren', 'karna', 'nyari', 'peluang', 'kerja', 'negara', 'kita', 'ini', 'sulit']","['kaya', 'gua', 'sendiri', 'bakal', 'ngikutin', 'tren', 'karna', 'nyari', 'peluang', 'kerja', 'negara', 'kita', 'ini', 'sulit']",-10,0
