created_at,username,full_text,clean_text,lower_text,normalized_text,stopwords_text,tokenized_text,stemmed_text,label,polarity_score,polarity
"Friday, 31 March 2023",LaeEnrich,Bonus demografi Indonesia Emas 2045 ,Bonus demografi Indonesia Emas 2045,bonus demografi indonesia emas 2045,bonus demografi indonesia emas 2045,bonus demografi indonesia emas 2045,"['bonus', 'demografi', 'indonesia', 'emas', '2045']","['bonus', 'demografi', 'indonesia', 'emas', '2045']","['bonus', 'demografi', 'indonesia', 'emas', '2045']",1,1
"Friday, 31 March 2023",masnyaarifin,1945 - 1965 ORLA 1966 - 1998 ORBA 1999 - 2018 WAIT &amp; SEE 2018 - 2045 Indonesia Maju 2045 - .... Indonesia Emas #ArtificialSystem #TechnoDigitalAge,1945 1965 ORLA 1966 1998 ORBA 1999 2018 WAIT amp SEE 2018 2045 Indonesia Maju 2045 Indonesia Emas,1945 1965 orla 1966 1998 orba 1999 2018 wait amp see 2018 2045 indonesia maju 2045 indonesia emas,1945 1965 orla 1966 1998 orba 1999 2018 wait dan see 2018 2045 indonesia maju 2045 indonesia emas,1945 1965 orla 1966 1998 orba 1999 2018 wait see 2018 2045 indonesia maju 2045 indonesia emas,"['1945', '1965', 'orla', '1966', '1998', 'orba', '1999', '2018', 'wait', 'see', '2018', '2045', 'indonesia', 'maju', '2045', 'indonesia', 'emas']","['1945', '1965', 'orla', '1966', '1998', 'orba', '1999', '2018', 'wait', 'see', '2018', '2045', 'indonesia', 'maju', '2045', 'indonesia', 'emas']","['1945', '1965', 'orla', '1966', '1998', 'orba', '1999', '2018', 'wait', 'see', '2018', '2045', 'indonesia', 'maju', '2045', 'indonesia', 'emas']",0,1
"Friday, 31 March 2023",sandiuno,Hadir dalam Pelantikan dan Upgrading Pengurus Pimpinan Pusat Gerakan Pemuda Al Washliyah sekaligus menyaksikan secara langsung semangat fastabiqul khairat untuk menyongsong Indonesia emas tahun 2045. https://t.co/oaSfmKAPvh,Hadir dalam Pelantikan dan Upgrading Pengurus Pimpinan Pusat Gerakan Pemuda Al Washliyah sekaligus menyaksikan secara langsung semangat fastabiqul khairat untuk menyongsong Indonesia emas tahun 2045,hadir dalam pelantikan dan upgrading pengurus pimpinan pusat gerakan pemuda al washliyah sekaligus menyaksikan secara langsung semangat fastabiqul khairat untuk menyongsong indonesia emas tahun 2045,hadir dalam pelantikan dan upgrading pengurus pimpinan pusat gerakan pemuda al washliyah sekaligus menyaksikan secara langsung semangat fastabiqul khairat untuk menyongsong indonesia emas tahun 2045,hadir dalam pelantikan upgrading pengurus pimpinan pusat gerakan pemuda al washliyah sekaligus menyaksikan secara langsung semangat fastabiqul khairat menyongsong indonesia emas tahun 2045,"['hadir', 'dalam', 'pelantikan', 'upgrading', 'pengurus', 'pimpinan', 'pusat', 'gerakan', 'pemuda', 'al', 'washliyah', 'sekaligus', 'menyaksikan', 'secara', 'langsung', 'semangat', 'fastabiqul', 'khairat', 'menyongsong', 'indonesia', 'emas', 'tahun', '2045']","['hadir', 'dalam', 'lantik', 'upgrading', 'urus', 'pimpin', 'pusat', 'gera', 'pemuda', 'al', 'washliyah', 'sekaligus', 'saksi', 'cara', 'langsung', 'semangat', 'fastabiqul', 'khairat', 'songsong', 'indonesia', 'emas', 'tahun', '2045']","['hadir', 'dalam', 'lantik', 'upgrading', 'urus', 'pimpin', 'pusat', 'gera', 'pemuda', 'al', 'washliyah', 'sekaligus', 'saksi', 'cara', 'langsung', 'semangat', 'fastabiqul', 'khairat', 'songsong', 'indonesia', 'emas', 'tahun', '2045']",14,1
"Friday, 31 March 2023",kanwilbpnkepri, Pengelolaan Pertanahan dan Tata Ruang yang Partisipatif Menuju Indonesia Emas 2045. Kegiatan tersebut berlangsung di Auditorium Prof. Dr. H. Baharuddin Lopa S.H. Fakultas Hukum Universitas Hasanuddin Makassar Sulawesi Selatan pada Jumat (17/03/2023). https://t.co/0yG2Peuu92,Pengelolaan Pertanahan dan Tata Ruang yang Partisipatif Menuju Indonesia Emas 2045 Kegiatan tersebut berlangsung di Auditorium Prof Dr H Baharuddin Lopa SH Fakultas Hukum Universitas Hasanuddin Makassar Sulawesi Selatan pada Jumat 17032023,pengelolaan pertanahan dan tata ruang yang partisipatif menuju indonesia emas 2045 kegiatan tersebut berlangsung di auditorium prof dr h baharuddin lopa sh fakultas hukum universitas hasanuddin makassar sulawesi selatan pada jumat 17032023,pengelolaan pertanahan dan tata ruang yang partisipatif menuju indonesia emas 2045 kegiatan tersebut berlangsung di auditorium prof dari h baharuddin lopa sh fakultas hukum universitas hasanuddin makassar sulawesi selatan pada jumat 17032023,pengelolaan pertanahan tata ruang partisipatif menuju indonesia emas 2045 kegiatan tersebut berlangsung auditorium prof dari h baharuddin lopa sh fakultas hukum universitas hasanuddin makassar sulawesi selatan jumat 17032023,"['pengelolaan', 'pertanahan', 'tata', 'ruang', 'partisipatif', 'menuju', 'indonesia', 'emas', '2045', 'kegiatan', 'tersebut', 'berlangsung', 'auditorium', 'prof', 'dari', 'h', 'baharuddin', 'lopa', 'sh', 'fakultas', 'hukum', 'universitas', 'hasanuddin', 'makassar', 'sulawesi', 'selatan', 'jumat', '17032023']","['kelola', 'tanah', 'tata', 'ruang', 'partisipatif', 'tuju', 'indonesia', 'emas', '2045', 'giat', 'sebut', 'langsung', 'auditorium', 'prof', 'dari', 'h', 'baharuddin', 'lopa', 'sh', 'fakultas', 'hukum', 'universitas', 'hasanuddin', 'makassar', 'sulawesi', 'selatan', 'jumat', '17032023']","['kelola', 'tanah', 'tata', 'ruang', 'partisipatif', 'tuju', 'indonesia', 'emas', '2045', 'giat', 'sebut', 'langsung', 'auditorium', 'prof', 'dari', 'h', 'baharuddin', 'lopa', 'sh', 'fakultas', 'hukum', 'universitas', 'hasanuddin', 'makassar', 'sulawesi', 'selatan', 'jumat', '17032023']",-1,0
"Friday, 31 March 2023",eyang_kidal,Sudah bukan barang baru n bukan yg pertama.HAL TAMPAR MENAMPAR. JOKOWI..TETAP TEGAK N OPTIMIS KERJA KERJA MENGGAPAI MIMPI INDONESIA EMAS DI 2045.. https://t.co/lzGSPvADVZ,Sudah bukan barang baru n bukan yg pertamaHAL TAMPAR MENAMPAR JOKOWITETAP TEGAK N OPTIMIS KERJA KERJA MENGGAPAI MIMPI INDONESIA EMAS DI 2045,sudah bukan barang baru n bukan yg pertamahal tampar menampar jokowitetap tegak n optimis kerja kerja menggapai mimpi indonesia emas di 2045,sudah bukan barang baru dan bukan yang pertamahal tampar menampar jokowitetap tegak dan optimis kerja kerja menggapai mimpi indonesia emas di 2045,sudah bukan barang baru bukan pertamahal tampar menampar jokowitetap tegak optimis kerja kerja menggapai mimpi indonesia emas 2045,"['sudah', 'bukan', 'barang', 'baru', 'bukan', 'pertamahal', 'tampar', 'menampar', 'jokowitetap', 'tegak', 'optimis', 'kerja', 'kerja', 'menggapai', 'mimpi', 'indonesia', 'emas', '2045']","['sudah', 'bukan', 'barang', 'baru', 'bukan', 'pertamahal', 'tampar', 'tampar', 'jokowitetap', 'tegak', 'optimis', 'kerja', 'kerja', 'gapai', 'mimpi', 'indonesia', 'emas', '2045']","['sudah', 'bukan', 'barang', 'baru', 'bukan', 'pertamahal', 'tampar', 'tampar', 'jokowitetap', 'tegak', 'optimis', 'kerja', 'kerja', 'gapai', 'mimpi', 'indonesia', 'emas', '2045']",4,1
"Thursday, 30 March 2023",astarte2017,Presiden Jokowi pun mengingatkan jajarannya untuk memilih strategi besar dalam mencapai visi Indonesia Emas 2045. Menurut Suharso Bappenas telah menawarkan transformasi sosial ekonomi &amp; tata kelola sebagai strategi mencapai visi Indonesia Emas 2045. #IndonesiaMaju #jokowi,Presiden Jokowi pun mengingatkan jajarannya untuk memilih strategi besar dalam mencapai visi Indonesia Emas 2045 Menurut Suharso Bappenas telah menawarkan transformasi sosial ekonomi amp tata kelola sebagai strategi mencapai visi Indonesia Emas 2045,presiden jokowi pun mengingatkan jajarannya untuk memilih strategi besar dalam mencapai visi indonesia emas 2045 menurut suharso bappenas telah menawarkan transformasi sosial ekonomi amp tata kelola sebagai strategi mencapai visi indonesia emas 2045,presiden jokowi pun mengingatkan jajarannya untuk memilih strategi besar dalam mencapai visi indonesia emas 2045 menurut suharso bappenas telah menawarkan transformasi sosial ekonomi dan tata kelola sebagai strategi mencapai visi indonesia emas 2045,presiden jokowi pun mengingatkan jajarannya memilih strategi besar dalam mencapai visi indonesia emas 2045 menurut suharso bappenas telah menawarkan transformasi sosial ekonomi tata kelola sebagai strategi mencapai visi indonesia emas 2045,"['presiden', 'jokowi', 'pun', 'mengingatkan', 'jajarannya', 'memilih', 'strategi', 'besar', 'dalam', 'mencapai', 'visi', 'indonesia', 'emas', '2045', 'menurut', 'suharso', 'bappenas', 'telah', 'menawarkan', 'transformasi', 'sosial', 'ekonomi', 'tata', 'kelola', 'sebagai', 'strategi', 'mencapai', 'visi', 'indonesia', 'emas', '2045']","['presiden', 'jokowi', 'pun', 'ingat', 'jajar', 'pilih', 'strategi', 'besar', 'dalam', 'capai', 'visi', 'indonesia', 'emas', '2045', 'turut', 'suharso', 'bappenas', 'telah', 'tawar', 'transformasi', 'sosial', 'ekonomi', 'tata', 'kelola', 'bagai', 'strategi', 'capai', 'visi', 'indonesia', 'emas', '2045']","['presiden', 'jokowi', 'pun', 'ingat', 'jajar', 'pilih', 'strategi', 'besar', 'dalam', 'capai', 'visi', 'indonesia', 'emas', '2045', 'turut', 'suharso', 'bappenas', 'telah', 'tawar', 'transformasi', 'sosial', 'ekonomi', 'tata', 'kelola', 'bagai', 'strategi', 'capai', 'visi', 'indonesia', 'emas', '2045']",2,1
"Thursday, 30 March 2023",astarte2017,Selain itu pada RPJPN 2025 2045 Indonesia juga harus melakukan sebuah transformasi untuk mendorong pembangunan Indonesia yang lebih baik dan mencapai visi Indonesia Emas 2045 yaitu Negara Maritim yang Berdaulat Maju dan Berkelanjutan. #IndonesiaMaju #jokowi,Selain itu pada RPJPN 2025 2045 Indonesia juga harus melakukan sebuah transformasi untuk mendorong pembangunan Indonesia yang lebih baik dan mencapai visi Indonesia Emas 2045 yaitu Negara Maritim yang Berdaulat Maju dan Berkelanjutan,selain itu pada rpjpn 2025 2045 indonesia juga harus melakukan sebuah transformasi untuk mendorong pembangunan indonesia yang lebih baik dan mencapai visi indonesia emas 2045 yaitu negara maritim yang berdaulat maju dan berkelanjutan,selain itu pada rpjpn 2025 2045 indonesia juga harus melakukan sebuah transformasi untuk mendorong pembangunan indonesia yang lebih baik dan mencapai visi indonesia emas 2045 yaitu negara maritim yang berdaulat maju dan berkelanjutan,selain itu rpjpn 2025 2045 indonesia juga harus melakukan sebuah transformasi mendorong pembangunan indonesia lebih baik mencapai visi indonesia emas 2045 yaitu negara maritim berdaulat maju berkelanjutan,"['selain', 'itu', 'rpjpn', '2025', '2045', 'indonesia', 'juga', 'harus', 'melakukan', 'sebuah', 'transformasi', 'mendorong', 'pembangunan', 'indonesia', 'lebih', 'baik', 'mencapai', 'visi', 'indonesia', 'emas', '2045', 'yaitu', 'negara', 'maritim', 'berdaulat', 'maju', 'berkelanjutan']","['selain', 'itu', 'rpjpn', '2025', '2045', 'indonesia', 'juga', 'harus', 'laku', 'buah', 'transformasi', 'dorong', 'bangun', 'indonesia', 'lebih', 'baik', 'capai', 'visi', 'indonesia', 'emas', '2045', 'yaitu', 'negara', 'maritim', 'daulat', 'maju', 'lanjut']","['selain', 'itu', 'rpjpn', '2025', '2045', 'indonesia', 'juga', 'harus', 'laku', 'buah', 'transformasi', 'dorong', 'bangun', 'indonesia', 'lebih', 'baik', 'capai', 'visi', 'indonesia', 'emas', '2045', 'yaitu', 'negara', 'maritim', 'daulat', 'maju', 'lanjut']",-3,0
"Thursday, 30 March 2023",geliatnegeri,Presiden Jokowi pun mengingatkan jajarannya untuk memilih strategi besar dalam mencapai visi Indonesia Emas 2045. Menurut Suharso Bappenas telah menawarkan transformasi sosial ekonomi dan tata kelola sebagai strategi dalam mencapai visi Indonesia Emas 2045.,Presiden Jokowi pun mengingatkan jajarannya untuk memilih strategi besar dalam mencapai visi Indonesia Emas 2045 Menurut Suharso Bappenas telah menawarkan transformasi sosial ekonomi dan tata kelola sebagai strategi dalam mencapai visi Indonesia Emas 2045,presiden jokowi pun mengingatkan jajarannya untuk memilih strategi besar dalam mencapai visi indonesia emas 2045 menurut suharso bappenas telah menawarkan transformasi sosial ekonomi dan tata kelola sebagai strategi dalam mencapai visi indonesia emas 2045,presiden jokowi pun mengingatkan jajarannya untuk memilih strategi besar dalam mencapai visi indonesia emas 2045 menurut suharso bappenas telah menawarkan transformasi sosial ekonomi dan tata kelola sebagai strategi dalam mencapai visi indonesia emas 2045,presiden jokowi pun mengingatkan jajarannya memilih strategi besar dalam mencapai visi indonesia emas 2045 menurut suharso bappenas telah menawarkan transformasi sosial ekonomi tata kelola sebagai strategi dalam mencapai visi indonesia emas 2045,"['presiden', 'jokowi', 'pun', 'mengingatkan', 'jajarannya', 'memilih', 'strategi', 'besar', 'dalam', 'mencapai', 'visi', 'indonesia', 'emas', '2045', 'menurut', 'suharso', 'bappenas', 'telah', 'menawarkan', 'transformasi', 'sosial', 'ekonomi', 'tata', 'kelola', 'sebagai', 'strategi', 'dalam', 'mencapai', 'visi', 'indonesia', 'emas', '2045']","['presiden', 'jokowi', 'pun', 'ingat', 'jajar', 'pilih', 'strategi', 'besar', 'dalam', 'capai', 'visi', 'indonesia', 'emas', '2045', 'turut', 'suharso', 'bappenas', 'telah', 'tawar', 'transformasi', 'sosial', 'ekonomi', 'tata', 'kelola', 'bagai', 'strategi', 'dalam', 'capai', 'visi', 'indonesia', 'emas', '2045']","['presiden', 'jokowi', 'pun', 'ingat', 'jajar', 'pilih', 'strategi', 'besar', 'dalam', 'capai', 'visi', 'indonesia', 'emas', '2045', 'turut', 'suharso', 'bappenas', 'telah', 'tawar', 'transformasi', 'sosial', 'ekonomi', 'tata', 'kelola', 'bagai', 'strategi', 'dalam', 'capai', 'visi', 'indonesia', 'emas', '2045']",5,1
"Thursday, 30 March 2023",revmen_id,Selamat memperingati Hari Film Nasional 2023. Mari bercermin pada masa lalu untuk merencanakan masa depan perfilman demi mewujudkan generasi emas Indonesia 2045. #AyoBerubah #RevolusiMental https://t.co/Ia8W8TEaoi,Selamat memperingati Hari Film Nasional 2023 Mari bercermin pada masa lalu untuk merencanakan masa depan perfilman demi mewujudkan generasi emas Indonesia 2045,selamat memperingati hari film nasional 2023 mari bercermin pada masa lalu untuk merencanakan masa depan perfilman demi mewujudkan generasi emas indonesia 2045,selamat memperingati hari film nasional 2023 mari bercermin pada masa lalu untuk merencanakan masa depan perfilman demi mewujudkan generasi emas indonesia 2045,selamat memperingati hari film nasional 2023 mari bercermin masa lalu merencanakan masa depan perfilman demi mewujudkan generasi emas indonesia 2045,"['selamat', 'memperingati', 'hari', 'film', 'nasional', '2023', 'mari', 'bercermin', 'masa', 'lalu', 'merencanakan', 'masa', 'depan', 'perfilman', 'demi', 'mewujudkan', 'generasi', 'emas', 'indonesia', '2045']","['selamat', 'ingat', 'hari', 'film', 'nasional', '2023', 'mari', 'cermin', 'masa', 'lalu', 'rencana', 'masa', 'depan', 'film', 'demi', 'wujud', 'generasi', 'emas', 'indonesia', '2045']","['selamat', 'ingat', 'hari', 'film', 'nasional', '2023', 'mari', 'cermin', 'masa', 'lalu', 'rencana', 'masa', 'depan', 'film', 'demi', 'wujud', 'generasi', 'emas', 'indonesia', '2045']",10,1
"Thursday, 30 March 2023",PDemokrat,Kebodohan adalah sumber kemiskinan kita tak ingin ada yg miskin &amp; bodoh di Indonesia. Apabila pembangunan ekonomi &amp; SDM jadi perhatian &amp; diperjuangkan maka Indonesia akan kian maju impian Indonesia Emas 2045 dapat terealisasi. SafariRamadhan AHY Jabar #DemokratProPerubahan https://t.co/Gi924jFvJ8,Kebodohan adalah sumber kemiskinan kita tak ingin ada yg miskin amp bodoh di Indonesia Apabila pembangunan ekonomi amp SDM jadi perhatian amp diperjuangkan maka Indonesia akan kian maju impian Indonesia Emas 2045 dapat terealisasi SafariRamadhan AHY Jabar,kebodohan adalah sumber kemiskinan kita tak ingin ada yg miskin amp bodoh di indonesia apabila pembangunan ekonomi amp sdm jadi perhatian amp diperjuangkan maka indonesia akan kian maju impian indonesia emas 2045 dapat terealisasi safariramadhan ahy jabar,kebodohan adalah sumber kemiskinan kita tak ingin ada yang miskin dan bodoh di indonesia apabila pembangunan ekonomi dan sdm jadi perhatian dan diperjuangkan maka indonesia akan kian maju impian indonesia emas 2045 dapat terealisasi safariramadhan ahy jabar,kebodohan sumber kemiskinan kita tak ingin ada miskin bodoh indonesia apabila pembangunan ekonomi sdm jadi perhatian diperjuangkan maka indonesia akan kian maju impian indonesia emas 2045 dapat terealisasi safariramadhan ahy jabar,"['kebodohan', 'sumber', 'kemiskinan', 'kita', 'tak', 'ingin', 'ada', 'miskin', 'bodoh', 'indonesia', 'apabila', 'pembangunan', 'ekonomi', 'sdm', 'jadi', 'perhatian', 'diperjuangkan', 'maka', 'indonesia', 'akan', 'kian', 'maju', 'impian', 'indonesia', 'emas', '2045', 'dapat', 'terealisasi', 'safariramadhan', 'ahy', 'jabar']","['bodoh', 'sumber', 'miskin', 'kita', 'tak', 'ingin', 'ada', 'miskin', 'bodoh', 'indonesia', 'apabila', 'bangun', 'ekonomi', 'sdm', 'jadi', 'perhati', 'juang', 'maka', 'indonesia', 'akan', 'kian', 'maju', 'impi', 'indonesia', 'emas', '2045', 'dapat', 'realisasi', 'safariramadhan', 'ahy', 'jabar']","['bodoh', 'sumber', 'miskin', 'kita', 'tak', 'ingin', 'ada', 'miskin', 'bodoh', 'indonesia', 'apabila', 'bangun', 'ekonomi', 'sdm', 'jadi', 'perhati', 'juang', 'maka', 'indonesia', 'akan', 'kian', 'maju', 'impi', 'indonesia', 'emas', '2045', 'dapat', 'realisasi', 'safariramadhan', 'ahy', 'jabar']",-10,0
