Comment,clean_text,lower_text,normalized_text,stopwords_text,tokenized_text,stemmed_text,label,polarity_score,polarity
kalian harus bangga. kamu lahir di indonesia,kalian harus bangga kamu lahir di indonesia,kalian harus bangga kamu lahir di indonesia,kalian harus bangga kamu lahir di indonesia,kalian harus bangga kamu lahir indonesia,"['kalian', 'harus', 'bangga', 'kamu', 'lahir', 'indonesia']","['kalian', 'harus', 'bangga', 'kamu', 'lahir', 'indonesia']","['kalian', 'harus', 'bangga', 'kamu', 'lahir', 'indonesia']",1,1
"Dan gw percaya sujiwo tejo kalo Indonesia harus d atur secara ""tangan besi""",Dan gw percaya sujiwo tejo kalo Indonesia harus d atur secara tangan besi,dan gw percaya sujiwo tejo kalo indonesia harus d atur secara tangan besi,dan saya percaya sujiwo tejo kalo indonesia harus d atur secara tangan besi,saya percaya sujiwo tejo kalo indonesia harus d atur secara tangan besi,"['saya', 'percaya', 'sujiwo', 'tejo', 'kalo', 'indonesia', 'harus', 'd', 'atur', 'secara', 'tangan', 'besi']","['saya', 'percaya', 'sujiwo', 'tejo', 'kalo', 'indonesia', 'harus', 'd', 'atur', 'cara', 'tangan', 'besi']","['saya', 'percaya', 'sujiwo', 'tejo', 'kalo', 'indonesia', 'harus', 'd', 'atur', 'cara', 'tangan', 'besi']",-5,0
Kuncinya ya komunis. agar negara yg mengatur semua urusan rakyatnya,Kuncinya ya komunis agar negara yg mengatur semua urusan rakyatnya,kuncinya ya komunis agar negara yg mengatur semua urusan rakyatnya,kuncinya ya komunis agar negara yang mengatur semua urusan rakyatnya,kuncinya komunis agar negara mengatur semua urusan rakyatnya,"['kuncinya', 'komunis', 'agar', 'negara', 'mengatur', 'semua', 'urusan', 'rakyatnya']","['kunci', 'komunis', 'agar', 'negara', 'atur', 'semua', 'urus', 'rakyat']","['kunci', 'komunis', 'agar', 'negara', 'atur', 'semua', 'urus', 'rakyat']",-3,0
Yg menghambat pembangunan ya sudah pasti koruptor.... Tinggal di basmi... Masalahnya banyak elite tingkat tinggi jg pada korupsi,Yg menghambat pembangunan ya sudah pasti koruptor Tinggal di basmi Masalahnya banyak elite tingkat tinggi jg pada korupsi,yg menghambat pembangunan ya sudah pasti koruptor tinggal di basmi masalahnya banyak elite tingkat tinggi jg pada korupsi,yang menghambat pembangunan ya sudah pasti koruptor tinggal di basmi masalahnya banyak elite tingkat tinggi juga pada korupsi,menghambat pembangunan sudah pasti koruptor tinggal basmi masalahnya banyak elite tingkat tinggi juga korupsi,"['menghambat', 'pembangunan', 'sudah', 'pasti', 'koruptor', 'tinggal', 'basmi', 'masalahnya', 'banyak', 'elite', 'tingkat', 'tinggi', 'juga', 'korupsi']","['hambat', 'bangun', 'sudah', 'pasti', 'koruptor', 'tinggal', 'basmi', 'masalah', 'banyak', 'elite', 'tingkat', 'tinggi', 'juga', 'korupsi']","['hambat', 'bangun', 'sudah', 'pasti', 'koruptor', 'tinggal', 'basmi', 'masalah', 'banyak', 'elite', 'tingkat', 'tinggi', 'juga', 'korupsi']",-8,0
Raymond realistis,Raymond realistis,raymond realistis,raymond realistis,raymond realistis,"['raymond', 'realistis']","['raymond', 'realistis']","['raymond', 'realistis']",4,1
"Sebener.a gampang klo presiden sahkan r u u perampasan
Hukum para pelaku nepotisme
Mau jabatan rendah atau tinggi",Sebenera gampang klo presiden sahkan r u u perampasan Hukum para pelaku nepotisme Mau jabatan rendah atau tinggi,sebenera gampang klo presiden sahkan r u u perampasan hukum para pelaku nepotisme mau jabatan rendah atau tinggi,sebenera gampang kalau presiden sahkan r kamu kamu perampasan hukum para pelaku nepotisme mau jabatan rendah atau tinggi,sebenera gampang kalau presiden sahkan r kamu kamu perampasan hukum para pelaku nepotisme mau jabatan rendah tinggi,"['sebenera', 'gampang', 'kalau', 'presiden', 'sahkan', 'r', 'kamu', 'kamu', 'perampasan', 'hukum', 'para', 'pelaku', 'nepotisme', 'mau', 'jabatan', 'rendah', 'tinggi']","['sebenera', 'gampang', 'kalau', 'presiden', 'sahkan', 'r', 'kamu', 'kamu', 'ampas', 'hukum', 'para', 'laku', 'nepotisme', 'mau', 'jabat', 'rendah', 'tinggi']","['sebenera', 'gampang', 'kalau', 'presiden', 'sahkan', 'r', 'kamu', 'kamu', 'ampas', 'hukum', 'para', 'laku', 'nepotisme', 'mau', 'jabat', 'rendah', 'tinggi']",-1,0
"boro2 emas, insonesia perunggu aja blm tentu, kl rate kaya  sekarang, apa2 mahal daya beli turun,rupiah anjlok,,kau mikir los botak",boro2 emas insonesia perunggu aja blm tentu kl rate kaya sekarang apa2 mahal daya beli turunrupiah anjlokkau mikir los botak,boro2 emas insonesia perunggu aja blm tentu kl rate kaya sekarang apa2 mahal daya beli turunrupiah anjlokkau mikir los botak,boro2 emas insonesia perunggu saja belum tentu kalau rate kaya sekarang apa-apa mahal daya beli turunrupiah anjlokkau mikir los botak,boro2 emas insonesia perunggu saja belum tentu kalau rate kaya sekarang apa-apa mahal daya beli turunrupiah anjlokkau mikir los botak,"['boro2', 'emas', 'insonesia', 'perunggu', 'saja', 'belum', 'tentu', 'kalau', 'rate', 'kaya', 'sekarang', 'apa-apa', 'mahal', 'daya', 'beli', 'turunrupiah', 'anjlokkau', 'mikir', 'los', 'botak']","['boro2', 'emas', 'insonesia', 'perunggu', 'saja', 'belum', 'tentu', 'kalau', 'rate', 'kaya', 'sekarang', 'apa', 'mahal', 'daya', 'beli', 'turunrupiah', 'anjlokkau', 'mikir', 'los', 'botak']","['boro2', 'emas', 'insonesia', 'perunggu', 'saja', 'belum', 'tentu', 'kalau', 'rate', 'kaya', 'sekarang', 'apa', 'mahal', 'daya', 'beli', 'turunrupiah', 'anjlokkau', 'mikir', 'los', 'botak']",-11,0
Gue nanti besar,Gue nanti besar,gue nanti besar,saya nanti besar,saya nanti besar,"['saya', 'nanti', 'besar']","['saya', 'nanti', 'besar']","['saya', 'nanti', 'besar']",-3,0
"MANA MAMPU BERHARAP DG IJSAH YG BERMASALAH.
ORANG'NYA JELAS2.BERMASALAH DAN NKRI BEBAN BERTAMBAH.",MANA MAMPU BERHARAP DG IJSAH YG BERMASALAH ORANGNYA JELAS2BERMASALAH DAN NKRI BEBAN BERTAMBAH,mana mampu berharap dg ijsah yg bermasalah orangnya jelas2bermasalah dan nkri beban bertambah,mana mampu berharap dengan ijsah yang bermasalah orangnya jelas2bermasalah dan nkri beban bertambah,mana mampu berharap ijsah bermasalah orangnya jelas2bermasalah nkri beban bertambah,"['mana', 'mampu', 'berharap', 'ijsah', 'bermasalah', 'orangnya', 'jelas2bermasalah', 'nkri', 'beban', 'bertambah']","['mana', 'mampu', 'harap', 'ijsah', 'masalah', 'orang', 'jelas2bermasalah', 'nkri', 'beban', 'tambah']","['mana', 'mampu', 'harap', 'ijsah', 'masalah', 'orang', 'jelas2bermasalah', 'nkri', 'beban', 'tambah']",-8,0
"bagi mereka yg kurang atau tidak optimis, sebagian karna dasar ketidak sukaan pada pemimpinnya",bagi mereka yg kurang atau tidak optimis sebagian karna dasar ketidak sukaan pada pemimpinnya,bagi mereka yg kurang atau tidak optimis sebagian karna dasar ketidak sukaan pada pemimpinnya,bagi mereka yang kurang atau tidak optimis sebagian karna dasar ketidak sukaan pada pemimpinnya,bagi mereka kurang tidak optimis sebagian karna dasar ketidak sukaan pemimpinnya,"['bagi', 'mereka', 'kurang', 'tidak', 'optimis', 'sebagian', 'karna', 'dasar', 'ketidak', 'sukaan', 'pemimpinnya']","['bagi', 'mereka', 'kurang', 'tidak', 'optimis', 'bagi', 'karna', 'dasar', 'tidak', 'suka', 'pimpin']","['bagi', 'mereka', 'kurang', 'tidak', 'optimis', 'bagi', 'karna', 'dasar', 'tidak', 'suka', 'pimpin']",-15,0
Semua pasti jika pemimpin yang amanah.,Semua pasti jika pemimpin yang amanah,semua pasti jika pemimpin yang amanah,semua pasti jika pemimpin yang amanah,semua pasti jika pemimpin amanah,"['semua', 'pasti', 'jika', 'pemimpin', 'amanah']","['semua', 'pasti', 'jika', 'pimpin', 'amanah']","['semua', 'pasti', 'jika', 'pimpin', 'amanah']",5,1
Menurut profesor rezim ini cumimpi tidak realisasi. Signipikan maka pilih lah amin tun pimpin infonesia kedepan saya percaya ke amin indosia maju. Buks jogeg dan belimbing sayur dan bukan progrsm setiap hari itu konyol sekali itu bukan gagasan ujung2nya fikorupsi jugs,Menurut profesor rezim ini cumimpi tidak realisasi Signipikan maka pilih lah amin tun pimpin infonesia kedepan saya percaya ke amin indosia maju Buks jogeg dan belimbing sayur dan bukan progrsm setiap hari itu konyol sekali itu bukan gagasan ujung2nya fikorupsi jugs,menurut profesor rezim ini cumimpi tidak realisasi signipikan maka pilih lah amin tun pimpin infonesia kedepan saya percaya ke amin indosia maju buks jogeg dan belimbing sayur dan bukan progrsm setiap hari itu konyol sekali itu bukan gagasan ujung2nya fikorupsi jugs,menurut profesor rezim ini cumimpi tidak realisasi signipikan maka pilih lah amin tun pimpin infonesia kedepan saya percaya ke amin indosia maju buks jogeg dan belimbing sayur dan bukan progrsm setiap hari itu konyol sekali itu bukan gagasan ujung2nya fikorupsi jugs,menurut profesor rezim ini cumimpi tidak realisasi signipikan maka pilih lah amin tun pimpin infonesia kedepan saya percaya amin indosia maju buks jogeg belimbing sayur bukan progrsm setiap hari itu konyol sekali itu bukan gagasan ujung2nya fikorupsi jugs,"['menurut', 'profesor', 'rezim', 'ini', 'cumimpi', 'tidak', 'realisasi', 'signipikan', 'maka', 'pilih', 'lah', 'amin', 'tun', 'pimpin', 'infonesia', 'kedepan', 'saya', 'percaya', 'amin', 'indosia', 'maju', 'buks', 'jogeg', 'belimbing', 'sayur', 'bukan', 'progrsm', 'setiap', 'hari', 'itu', 'konyol', 'sekali', 'itu', 'bukan', 'gagasan', 'ujung2nya', 'fikorupsi', 'jugs']","['turut', 'profesor', 'rezim', 'ini', 'cumimpi', 'tidak', 'realisasi', 'signipikan', 'maka', 'pilih', 'lah', 'amin', 'tun', 'pimpin', 'infonesia', 'depan', 'saya', 'percaya', 'amin', 'indosia', 'maju', 'buks', 'jogeg', 'belimbing', 'sayur', 'bukan', 'progrsm', 'tiap', 'hari', 'itu', 'konyol', 'sekali', 'itu', 'bukan', 'gagas', 'ujung2nya', 'fikorupsi', 'jugs']","['turut', 'profesor', 'rezim', 'ini', 'cumimpi', 'tidak', 'realisasi', 'signipikan', 'maka', 'pilih', 'lah', 'amin', 'tun', 'pimpin', 'infonesia', 'depan', 'saya', 'percaya', 'amin', 'indosia', 'maju', 'buks', 'jogeg', 'belimbing', 'sayur', 'bukan', 'progrsm', 'tiap', 'hari', 'itu', 'konyol', 'sekali', 'itu', 'bukan', 'gagas', 'ujung2nya', 'fikorupsi', 'jugs']",-32,0
masuk kerja aja susah gini brok mau berlaga indonesia emas wkwkwkw lucu banget,masuk kerja aja susah gini brok mau berlaga indonesia emas wkwkwkw lucu banget,masuk kerja aja susah gini brok mau berlaga indonesia emas wkwkwkw lucu banget,masuk kerja saja susah gini brok mau berlaga indonesia emas wkwkwkw lucu banget,masuk kerja saja susah gini brok mau berlaga indonesia emas wkwkwkw lucu,"['masuk', 'kerja', 'saja', 'susah', 'gini', 'brok', 'mau', 'berlaga', 'indonesia', 'emas', 'wkwkwkw', 'lucu']","['masuk', 'kerja', 'saja', 'susah', 'gin', 'brok', 'mau', 'laga', 'indonesia', 'emas', 'wkwkwkw', 'lucu']","['masuk', 'kerja', 'saja', 'susah', 'gin', 'brok', 'mau', 'laga', 'indonesia', 'emas', 'wkwkwkw', 'lucu']",-2,0
"prabowo pernah bilang indonesia akan punah thn 2035 kalo gaya mulyono dipake trs & faktanya sekarang 2024 kita dah mulai ngos2an, beban negara luar biasa berat, recovery butuh belasan - puluhan tahun dgn catatan clean govn. cara pikir raymond ini kek pak harto, terukur & presisi.",prabowo pernah bilang indonesia akan punah thn 2035 kalo gaya mulyono dipake trs faktanya sekarang 2024 kita dah mulai ngos2an beban negara luar biasa berat recovery butuh belasan puluhan tahun dgn catatan clean govn cara pikir raymond ini kek pak harto terukur presisi,prabowo pernah bilang indonesia akan punah thn 2035 kalo gaya mulyono dipake trs faktanya sekarang 2024 kita dah mulai ngos2an beban negara luar biasa berat recovery butuh belasan puluhan tahun dgn catatan clean govn cara pikir raymond ini kek pak harto terukur presisi,prabowo pernah bilang indonesia akan punah thn 2035 kalo gaya mulyono dipake terus faktanya sekarang 2024 kita dah mulai ngos2an beban negara luar biasa berat recovery butuh belasan puluhan tahun dengan catatan clean govn cara pikir raymond ini kayak pak harto terukur presisi,prabowo pernah bilang indonesia akan punah thn 2035 kalo gaya mulyono dipake terus faktanya sekarang 2024 kita dah mulai ngos2an beban negara luar biasa berat recovery butuh belasan puluhan tahun catatan clean govn cara pikir raymond ini kayak pak harto terukur presisi,"['prabowo', 'pernah', 'bilang', 'indonesia', 'akan', 'punah', 'thn', '2035', 'kalo', 'gaya', 'mulyono', 'dipake', 'terus', 'faktanya', 'sekarang', '2024', 'kita', 'dah', 'mulai', 'ngos2an', 'beban', 'negara', 'luar', 'biasa', 'berat', 'recovery', 'butuh', 'belasan', 'puluhan', 'tahun', 'catatan', 'clean', 'govn', 'cara', 'pikir', 'raymond', 'ini', 'kayak', 'pak', 'harto', 'terukur', 'presisi']","['prabowo', 'pernah', 'bilang', 'indonesia', 'akan', 'punah', 'thn', '2035', 'kalo', 'gaya', 'mulyono', 'dipake', 'terus', 'fakta', 'sekarang', '2024', 'kita', 'dah', 'mulai', 'ngos2an', 'beban', 'negara', 'luar', 'biasa', 'berat', 'recovery', 'butuh', 'bas', 'puluh', 'tahun', 'catat', 'clean', 'govn', 'cara', 'pikir', 'raymond', 'ini', 'kayak', 'pak', 'harto', 'ukur', 'presisi']","['prabowo', 'pernah', 'bilang', 'indonesia', 'akan', 'punah', 'thn', '2035', 'kalo', 'gaya', 'mulyono', 'dipake', 'terus', 'fakta', 'sekarang', '2024', 'kita', 'dah', 'mulai', 'ngos2an', 'beban', 'negara', 'luar', 'biasa', 'berat', 'recovery', 'butuh', 'bas', 'puluh', 'tahun', 'catat', 'clean', 'govn', 'cara', 'pikir', 'raymond', 'ini', 'kayak', 'pak', 'harto', 'ukur', 'presisi']",-22,0
